click_id,click_timestamp,campaign_id,ad_id,user_id,landing_page_url,utm_campaign,device_type,ip_address,user_agent
CLK0000046901,2025-10-16 05:30:07,C001,ADC001_twitter_20251015,U018114,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.1.176,Mozilla/5.0 (mobile)
CLK0000046902,2025-10-16 11:29:18,C001,ADC001_twitter_20251015,U006832,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.17.145,Mozilla/5.0 (mobile)
CLK0000046903,2025-10-16 02:43:57,C001,ADC001_twitter_20251015,U002795,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.61.143,Mozilla/5.0 (mobile)
CLK0000046904,2025-10-15 23:07:23,C001,ADC001_twitter_20251015,U009834,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.111.70,Mozilla/5.0 (mobile)
CLK0000046905,2025-10-15 21:19:20,C001,ADC001_twitter_20251015,U017355,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,desktop,192.168.167.112,Mozilla/5.0 (desktop)
CLK0000046906,2025-10-16 08:54:29,C001,ADC001_twitter_20251015,U011398,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,desktop,192.168.228.30,Mozilla/5.0 (desktop)
CLK0000046907,2025-10-16 07:39:13,C001,ADC001_twitter_20251015,U016067,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.222.109,Mozilla/5.0 (mobile)
CLK0000046908,2025-10-16 07:07:36,C001,ADC001_twitter_20251015,U002185,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.199.133,Mozilla/5.0 (mobile)
CLK0000046909,2025-10-16 06:40:39,C001,ADC001_twitter_20251015,U011477,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,mobile,192.168.221.141,Mozilla/5.0 (mobile)
CLK0000046910,2025-10-15 16:00:49,C001,ADC001_twitter_20251015,U019107,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,tablet,192.168.88.179,Mozilla/5.0 (tablet)
CLK0000046911,2025-10-16 06:30:02,C001,ADC001_twitter_20251015,U017698,https://ec.example.com/products?campaign=C001,春夏新作-ドレス,tablet,192.168.93.106,Mozilla/5.0 (tablet)
